color,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Rand
1,7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5,0.8102147121
1,7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7,0.6457720092
0,6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,7,0.978441407
1,7.1,0.16,0.25,1.3,0.034,28,123,0.9915,3.27,0.55,11.4,6,0.0730992837
1,7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,7,0.8402666412
0,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5,0.9471636706
0,7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6,0.4174071124
1,6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5,0.9299869449
1,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7,0.6224847445
1,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,0.1547579828
1,6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1,5,0.7484823265
0,9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6,0.6948206329
1,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,0.6583764153
1,7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5,0.9096593386
1,6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,6,0.4385686587
1,7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7,0.8680638382
1,5.9,0.32,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,6,0.7523811476
0,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,0.9252564411
0,11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5,0.9824553034
1,4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,6,0.5643296849
1,7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6,0.4081513949
0,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,0.1666302693
1,6.3,0.2,0.19,12.3,0.048,54,145,0.99668,3.16,0.42,9.3,6,0.3192099161
1,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6,0.0816579333
0,5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,0.3590287778
0,7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,0.3117033818
1,7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6,0.4575094644
0,9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7,0.6159665575
1,7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10,6,0.0014478858
1,6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,7,0.8529564489
1,6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,6,0.0988162681
1,6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5,0.2689765326
1,8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6,0.9499453665
1,8.9,0.27,0.28,0.8,0.024,29,128,0.98984,3.01,0.35,12.4,6,0.2522942915
1,9.7,0.24,0.45,1.2,0.033,11,59,0.9926,2.74,0.47,10.8,6,0.7645111808
1,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,0.2135874059
1,6.6,0.19,0.25,1.2,0.052,34,181,0.99352,3.3,0.42,9.4,7,0.909551627
0,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5,0.9565657203
0,8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7,0.4877242327
1,8.6,0.22,0.33,1.2,0.031,38,95,0.99239,2.83,0.31,10.3,5,0.9546407082
1,6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,5,0.8339089081
1,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,0.7468060276
0,8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,0.7332093061
