#Iteration  #Cost
0 34.9342
1 15.1656
2 4.60635
3 2.51612
4 2.24966
5 2.20061
6 2.17237
7 2.15409
8 2.14143
9 2.13221
10 2.12524
11 2.11983
12 2.11553
13 2.11204
14 2.10915
15 2.10674
16 2.10469
17 2.10294
18 2.10142
19 2.10009
20 2.09892
21 2.09788
22 2.09696
23 2.09613
24 2.09538
25 2.0947
26 2.09408
27 2.09352
28 2.09301
29 2.09253
30 2.09209
31 2.09169
32 2.09131
33 2.09096
34 2.09064
35 2.09034
36 2.09005
37 2.08979
38 2.08954
39 2.0893
40 2.08908
41 2.08888
42 2.08868
43 2.0885
44 2.08832
45 2.08815
46 2.088
47 2.08785
48 2.08771
49 2.08757
50 2.08744
51 2.08732
52 2.0872
53 2.08709
54 2.08699
55 2.08688
56 2.08679
